"","YEAR","AGE","WT","Selectivity","MAT"
"22",1989,1,0,1.92565276913914e-10,0
"75",1989,2,13.9285714285714,0.0279010240747914,0.00174794517946884
"128",1989,3,44.770612244898,0.68674561663114,0.0196011938224863
"181",1989,4,104.637271805274,1,0.185854796023818
"234",1989,5,163.020778072502,0.977901489332701,0.72272578182459
"287",1989,6,205.356618610747,0.967245371837411,0.967491933452732
"340",1989,7,243.676250880902,0.960889891372874,0.997065896058777
"393",1989,8,283.637568306011,0.955298321855364,0.999742339667029
"446",1989,9,310.631818181818,0.952408939446515,0.999977428650713
"499",1989,10,326.386,0.950819901151334,0.999998023147295
"552",1989,11,358.34,0.949516310449899,0.99999982686577
"605",1989,12,355.809090909091,0.94901420533055,0.9999999848368
"23",1990,1,0,1.91826130107399e-10,0
"76",1990,2,12.1953488372093,0.0198427882553514,0.00105874466166303
"129",1990,3,36.4468828980623,0.453575539684168,0.0133978905125825
"182",1990,4,95.6168561542264,1,0.148207824275972
"235",1990,5,154.580608974359,0.98294315186179,0.69034130791427
"288",1990,6,193.284523809524,0.97500532756603,0.966175428619939
"341",1990,7,231.598371335505,0.969519025070738,0.997275114894073
"394",1990,8,252.087192118227,0.967037969767627,0.999786794939481
"447",1990,9,293.657698056801,0.963693972277017,0.999983356686893
"500",1990,10,319.933050847458,0.96196386568265,0.99999870101736
"553",1990,11,333.551086956522,0.960755069575657,0.999999898618021
"606",1990,12,348.305555555556,0.96024965662079,0.999999992087428
"24",1991,1,0,1.91211753465347e-10,0
"77",1991,2,12.0246376811594,0.0141727485163054,0.00182588908706418
"130",1991,3,42.7340793489318,0.589331215284552,0.0272911238033506
"183",1991,4,103.56266810113,1,0.300864208372662
"236",1991,5,154.457175925926,0.995885871980673,0.868430393625656
"289",1991,6,197.721771913289,0.993174426459689,0.990219042200446
"342",1991,7,229.873221757322,0.991395140263056,0.999356423658692
"395",1991,8,258.802941176471,0.990134308381676,0.999958015307307
"448",1991,9,287.403355704698,0.989337301032323,0.999997262604338
"501",1991,10,332.985948477752,0.98829489279479,0.999999821528762
"554",1991,11,348.824571428571,0.987768423689,0.999999988364157
"607",1991,12,334.830097087379,0.987549644276618,0.999999999241375
"25",1992,1,0,1.90723429514266e-10,0
"78",1992,2,15.7315789473684,0.0454187774736516,0.00131325223579844
"131",1992,3,26.6882433356118,0.149813416777383,0.0180031750438241
"184",1992,4,84.8213935230618,1,0.203567391735563
"237",1992,5,148.327668845316,0.984637690188226,0.780870960728237
"290",1992,6,186.928600823045,0.978002171269302,0.980269148048815
"343",1992,7,221.242816091954,0.973296363471564,0.998558370033322
"396",1992,8,257.936144578313,0.970003008324293,0.999896458317829
"449",1992,9,277.878021978022,0.967989345291927,0.999992572600194
"502",1992,10,303.092417061611,0.966806254942434,0.999999467254687
"555",1992,11,332.838356164384,0.965540632247399,0.999999961788007
"608",1992,12,351.216363636364,0.964703374945201,0.999999997259186
"26",1993,1,0,1.91724643954683e-10,0
"79",1993,2,15.5777777777778,0.049803600392314,2.56273149087823e-05
"132",1993,3,37.4558904109589,0.524189170046076,0.00237484376647967
"185",1993,4,95.5891016200295,1,0.181077289189204
"238",1993,5,151.564218958611,0.983792713083629,0.953572098996592
"291",1993,6,197.370893970894,0.974570175396587,0.999476104686844
"344",1993,7,226.919453924915,0.969321465994407,0.999994356919701
"397",1993,8,260.780693069307,0.965090247288184,0.999999939247348
"450",1993,9,295.842424242424,0.961568977468745,0.999999999345949
"503",1993,10,306.921167883212,0.960513440622153,0.999999999992959
"556",1993,11,334.588,0.959333708497471,0.999999999999924
"609",1993,12,365.302816901408,0.95820116441898,0.999999999999999
"27",1994,1,0,1.91759469163507e-10,0
"80",1994,2,13.9271186440678,0.021557424432463,0.00117868935206786
"133",1994,3,41.6689530685921,0.589737875563379,0.0184313406001683
"186",1994,4,97.8825570776256,1,0.23005049269367
"239",1994,5,143.75488372093,0.988791747452379,0.826216592264368
"292",1994,6,181.250549450549,0.982198413627855,0.986953725662291
"345",1994,7,212.50214797136,0.977059072557338,0.999169949722741
"398",1994,8,239.126086956522,0.973928956676267,0.999947794329163
"451",1994,9,258.058461538462,0.971372373872988,0.999996718939427
"504",1994,10,297.522826086957,0.969492972237229,0.999999793798936
"557",1994,11,313.164406779661,0.968081988668524,0.999999987041155
"610",1994,12,326.040186915888,0.967500238833918,0.999999999185593
"28",1995,1,0,1.92820761674875e-10,0
"81",1995,2,10.2490566037736,0.00577195167733392,0.00234878522678546
"134",1995,3,39.6339285714286,0.575796181300455,0.0449535449203105
"187",1995,4,98.8978723404255,1,0.484815854723796
"240",1995,5,156.296978851964,0.964730247472925,0.949531524491224
"293",1995,6,199.662080536913,0.946146551019315,0.997348553407938
"346",1995,7,238.002801120448,0.934447185167835,0.999867045420957
"399",1995,8,274.294166666667,0.927135503209588,0.999993349056183
"452",1995,9,309.161538461538,0.919812506229828,0.999999667331909
"505",1995,10,341.550724637681,0.916869479258084,0.999999983360648
"558",1995,11,341.640740740741,0.915475916002821,0.999999999167735
"611",1995,12,369.131034482759,0.913948301740149,0.999999999958372
"29",1996,1,0,1.76758682984961e-10,0
"82",1996,2,15.8,0.0563950877604253,0.000193459628372388
"135",1996,3,44.8446428571429,0.673357651650424,0.0108735277759499
"188",1996,4,95.4394276629571,0.923164806809392,0.384442578865171
"241",1996,5,149.44142461964,0.960996769702317,0.972589165981192
"294",1996,6,199.665070422535,1,0.999504169583061
"347",1996,7,246.400414937759,0.978832423144357,0.99999126826603
"400",1996,8,278.458095238095,0.96229510032165,0.999999846304924
"453",1996,9,315.854,0.939527430634105,0.999999997294698
"506",1996,10,338.925,0.92077361710193,0.999999999952382
"559",1996,11,368.885714285714,0.908876711630534,0.999999999999162
"612",1996,12,384.452380952381,0.896278353485378,0.999999999999985
"30",1997,1,0,1.79097261377372e-10,0
"83",1997,2,16.8834951456311,0.0784553606396596,5.16126889639775e-05
"136",1997,3,41.3360333080999,0.575592297020028,0.00385192299884513
"189",1997,4,86.3389885807504,0.940860384049622,0.224617859327653
"242",1997,5,155.630402930403,0.965629583507053,0.955951359354171
"295",1997,6,196.556458635704,1,0.999385311789924
"348",1997,7,246.763970588235,0.977768935400921,0.999991789992362
"401",1997,8,281.271641791045,0.951814749762527,0.999999890409657
"454",1997,9,304.177777777778,0.932711893719463,0.999999998537158
"507",1997,10,318.963636363636,0.905805101737208,0.999999999980474
"560",1997,11,321.672727272727,0.896229399999416,0.999999999999739
"613",1997,12,356.6,0.898912804698456,0.999999999999996
"31",1998,1,0,1.91092566843645e-10,0
"84",1998,2,18.175,0.0283964760875662,7.0552139807223e-05
"137",1998,3,42.0046844502277,0.664167044939689,0.00458620936280278
"190",1998,4,85.8823365785814,1,0.231275790321938
"243",1998,5,132.240687919463,0.983689418009474,0.951563922953421
"296",1998,6,179.343947368421,0.984219902700386,0.999221097322691
"349",1998,7,220.100496277916,0.974110389003985,0.99998806267479
"402",1998,8,262.667021276596,0.960925743073324,0.999999817188825
"455",1998,9,298.05,0.951046651248393,0.999999997200417
"508",1998,10,323.684210526316,0.94393127662392,0.999999999957127
"561",1998,11,339.2,0.9398280153963,0.999999999999343
"614",1998,12,379.825,0.931675194248734,0.99999999999999
"32",1999,1,0,1.91604837308265e-10,0
"85",1999,2,25.6294117647059,0.150525628602323,0.000406159527216589
"138",1999,3,55.3379862700229,0.773433831356333,0.0127585367809517
"191",1999,4,101.264176245211,1,0.291301825586952
"244",1999,5,148.255782312925,0.982461695270622,0.928943623612737
"297",1999,6,184.517647058824,0.978987994732553,0.997600802067344
"350",1999,7,217.502666666667,0.972064820579136,0.99992439125285
"403",1999,8,241.89512195122,0.962941384406275,0.999997622615441
"456",1999,9,256.564285714286,0.957253387456604,0.999999925252611
"509",1999,10,297.55,0.941095054226439,0.999999997649871
"562",1999,11,288.98,0.941829229272412,0.99999999992611
"615",1999,12,355.975,0.937263809881321,0.999999999997677
